LAT LON P
37.875 -80.625 0.5035327823500317
37.875 -80.57499999999999 0.5035327823500317
37.875 -80.52499999999999 0.5037753771585215
37.875 -80.475 0.5035394294121137
37.875 -80.425 0.5035394294121137
37.875 -80.375 0.5035394294121137
37.875 -80.32499999999999 0.5035394294121137
37.875 -80.27499999999999 0.5041114874781377
37.875 -80.225 0.5043784196705369
37.875 -80.175 0.5041653972912082
37.875 -80.125 0.5041653972912082
37.875 -80.07499999999999 0.5039568169672324
37.875 -80.02499999999999 0.5037499612269842
37.875 -79.975 0.5035907518423056
37.875 -79.925 0.5033893923340228
37.875 -79.875 0.5031709657264621
37.875 -79.82499999999999 0.5027675966726992
37.875 -79.77499999999999 0.5021608788471094
37.875 -79.725 0.501476834883629
37.875 -79.675 0.501279441981556
